边,biān
滨,bīn
橙,chéng
春,chūn
葱,cōng
底,dǐ
冬,dōng
后,hòu
季,jì
姜,jiāng
界,jiè
卡,kǎ
刻,kè
梨,lí
里,lǐ
秒,miǎo
末,mò
内,nèi
畔,pàn
前,qián
仁,rén
日,rì
桃,táo
外,wài
下,xià
夏,xià
杏,xìng
血,xuè
右,yòu
釉,yòu
月,yuè
周,zhōu
左,zuǒ
爱好,ài,hào
爱河,ài,hé
爱护,ài,hù
爱辉,ài,huī
爱将,ài,jiàng
爱俪,ài,lì
爱恋,ài,liàn
爱菱,ài,líng
爱侣,ài,lǚ
爱买,ài,mǎi
爱美,ài,měi
爱姆,ài,mǔ
爱慕,ài,mù
爱侬,ài,nóng
爱卿,ài,qīng
爱情,ài,qíng
爱犬,ài,quǎn
爱人,ài,rén
爱舒,ài,shū
爱童,ài,tóng
爱维,ài,wéi
爱惜,ài,xī
爱心,ài,xīn
爱新,ài,xīn
爱益,ài,yì
爱子,ài,zǐ
隘口,ài,kǒu
隘路,ài,lù
隘南,ài,nán
碍口,ài,kǒu
碍难,ài,nán
碍事,ài,shì
碍手,ài,shǒu
碍眼,ài,yǎn
嗳腐,ài,fǔ
嗳气,ài,qì
嗳酸,ǎi,suān
暧昧,ài,mèi
暧舒,ài,shū
安安,ān,ān
安泊,ān,bó
安卜,ān,bǔ
安瓿,ān,bù
安插,ān,chā
安成,ān,chéng
安城,ān,chéng
安村,ān,cūn
安厝,ān,cuò
安淡,ān,dàn
安迪,ān,dí
安笛,ān,dí
安蒂,ān,dì
安定,ān,dìng
安兜,ān,dōu
安堵,ān,dǔ
安顿,ān,dùn
安多,ān,duō
安放,ān,fàng
安分,ān,fèn
安福,ān,fú
安抚,ān,fǔ
安富,ān,fù
安固,ān,gù
安国,ān,guó
安好,ān,hǎo
安禾,ān,hé
安后,ān,hòu
安徽,ān,huī
安吉,ān,jí
安家,ān,jiā
安检,ān,jiǎn
安静,ān,jìng
安居,ān,jū
安康,ān,kāng
安咳,ān,ké
安拉,ān,lā
安澜,ān,lán
安朗,ān,lǎng
安乐,ān,lè
安良,ān,liáng
安龙,ān,lóng
安陆,ān,lù
安路,ān,lù
安迈,ān,mài
安曼,ān,màn
安美,ān,měi
安谧,ān,mì
安眠,ān,mián
安民,ān,mín
安脑,ān,nǎo
安宁,ān,níng
安排,ān,pái
安培,ān,péi
安平,ān,píng
安岐,ān,qí
安奇,ān,qí
安旗,ān,qí
安前,ān,qián
安寝,ān,qǐn
安庆,ān,qìng
安丘,ān,qīu
安全,ān,quán
安然,ān,rán
安仁,ān,rén
安上,ān,shàng
安设,ān,shè
安身,ān,shēn
安神,ān,shén
安生,ān,shēng
安时,ān,shí
安适,ān,shì
安睡,ān,shuì
安顺,ān,shùn
安胎,ān,tāi
安泰,ān,tài
安坦,ān,tǎn
安塘,ān,táng
安替,ān,tì
安恬,ān,tián
安图,ān,tú
安途,ān,tú
安妥,ān,tuǒ
安危,ān,wēi
安胃,ān,wèi
安慰,ān,wèi
安稳,ān,wěn
安卧,ān,wò
安息,ān,xī
安溪,ān,xī
安喜,ān,xǐ
安闲,ān,xián
安县,ān,xiàn
安详,ān,xiáng
安享,ān,xiǎng
安歇,ān,xiē
安协,ān,xié
安心,ān,xīn
安新,ān,xīn
安星,ān,xīng
安亚,ān,yà
安阳,ān,yáng
安易,ān,yì
安益,ān,yì
安逸,ān,yì
安婴,ān,yīng
安营,ān,yíng
安岳,ān,yuè
安越,ān,yuè
安葬,ān,zàng
安樟,ān,zhāng
安枕,ān,zhěn
安芝,ān,zhī
安置,ān,zhì
安装,ān,zhuāng
安孜,ān,zī
桉木,ān,mù
桉属,ān,shǔ
桉树,ān,shù
桉叶,ān,yè
氨阀,ān,fá
氨罐,ān,guàn
氨基,ān,jī
氨冷,ān,lěng
氨络,ān,luò
氨酸,ān,suān
氨味,ān,wèi
氨酰,ān,xiān
氨液,ān,yè
氨酯,ān,zhǐ
庵顶,ān,dǐng
庵前,ān,qián
庵山,ān,shān
庵堂,ān,táng
谙练,ān,liàn
谙熟,ān,shú
鹌鹑,ān,chún
鞍管,ān,guǎn
鞍基,ān,jī
鞍鞯,ān,jiān
鞍具,ān,jù
鞍马,ān,mǎ
鞍山,ān,shān
鞍形,ān,xíng
鞍子,ān,zǐ
鮟鱇,ān,kāng
垵固,ǎn,gù
铵基,ǎn,jī
岸标,àn,biāo
岸冰,àn,bīng
岸吊,àn,diào
岸兜,àn,dōu
岸潜,àn,qián
岸墙,àn,qiáng
岸然,àn,rán
按键,àn,jiàn
按揭,àn,jiē
按理,àn,lǐ
按例,àn,lì
按脉,àn,mài
按摩,àn,mó
按捺,àn,nà
按期,àn,qī
按时,àn,shí
按说,àn,shuō
按锁,àn,suǒ
按序,àn,xù
按压,àn,yā
按语,àn,yǔ
按照,àn,zhào
胺类,àn,lèi
胺酸,àn,suān
胺酯,àn,zhǐ
案板,àn,bǎn
案底,àn,dǐ
案牍,àn,dú
案犯,àn,fàn
案件,àn,jiàn
案卷,àn,juàn
案例,àn,lì
案由,àn,yóu
案值,àn,zhí
案子,àn,zǐ
暗暗,àn,àn
暗坝,àn,bà
暗部,àn,bù
暗藏,àn,cáng
暗槽,àn,cáo
暗场,àn,chǎng
暗潮,àn,cháo
暗撑,àn,chēng
暗橙,àn,chéng
暗处,àn,chù
暗带,àn,dài
暗淡,àn,dàn
暗灯,àn,dēng
暗地,àn,dì
暗反,àn,fǎn
暗房,àn,fáng
暗访,àn,fǎng
暗粉,àn,fěn
暗讽,àn,fěng
暗敷,àn,fū
暗沟,àn,gōu
暗管,àn,guǎn
暗鳜,àn,guì
暗害,àn,hài
暗涵,àn,hán
暗号,àn,hào
暗合,àn,hé
暗河,àn,hé
暗盒,àn,hé
暗黑,àn,hēi
暗花,àn,huā
暗黄,àn,huáng
暗灰,àn,huī
暗魂,àn,hún
暗火,àn,huǒ
暗疾,àn,jí
暗记,àn,jì
暗箭,àn,jiàn
暗礁,àn,jiāo
暗精,àn,jīng
暗亏,àn,kuī
暗兰,àn,lán
暗雷,àn,léi
暗里,àn,lǐ
暗流,àn,líu
暗炉,àn,lú
暗绿,àn,lǜ
暗码,àn,mǎ
暗矛,àn,máo
暗昧,àn,mèi
暗免,àn,miǎn
暗魔,àn,mó
暗木,àn,mù
暗牧,àn,mù
暗幕,àn,mù
暗盘,àn,pán
暗契,àn,qì
暗器,àn,qì
暗青,àn,qīng
暗区,àn,qū
暗渠,àn,qú
暗刃,àn,rèn
暗弱,àn,ruò
暗色,àn,sè
暗杀,àn,shā
暗伤,àn,shāng
暗哨,àn,shào
暗石,àn,shí
暗示,àn,shì
暗室,àn,shì
暗算,àn,suàn
暗锁,àn,suǒ
暗滩,àn,tān
暗探,àn,tàn
暗雾,àn,wù
暗喜,àn,xǐ
暗匣,àn,xiá
暗线,àn,xiàn
暗箱,àn,xiāng
暗想,àn,xiǎng
暗笑,àn,xiào
暗型,àn,xíng
暗牙,àn,yá
暗鳐,àn,yáo
暗夜,àn,yè
暗翼,àn,yì
暗影,àn,yǐng
暗语,àn,yǔ
暗喻,àn,yù
暗月,àn,yuè
暗中,àn,zhōng
暗柱,àn,zhù
暗转,àn,zhuǎn
暗装,àn,zhuāng
暗紫,àn,zǐ
暗自,àn,zì
黯淡,àn,dàn
黯然,àn,rán
肮脏,āng,zāng
昂昂,áng,áng
昂藏,áng,cáng
昂奋,áng,fèn
昂贵,áng,guì
昂科,áng,kē
昂起,áng,qǐ
昂然,áng,rán
昂仁,áng,rén
昂首,áng,shǒu
昂泰,áng,tài
昂塘,áng,táng
昂扬,áng,yáng
盎然,àng,rán
盎司,àng,sī
凹斑,āo,bān
凹板,āo,bǎn
凹版,āo,bǎn
凹槽,āo,cáo
凹的,āo,de
凹镜,āo,jìng
凹刻,āo,kè
凹裸,āo,luǒ
凹铜,āo,tóng
凹凸,āo,tū
凹陷,āo,xiàn
凹型,āo,xíng
凹座,āo,zuò
敖丰,áo,fēng
敖汉,áo,hàn
遨游,áo,yóu
嗷嗷,áo,áo
熬煎,áo,jiān
熬夜,áo,yè
螯虾,áo,xiā
翱龙,áo,lóng
翱翔,áo,xiáng
鳌江,áo,jiāng
鳌头,áo,tóu
鏖兵,áo,bīng
鏖战,áo,zhàn
岙底,ào,dǐ
岙山,ào,shān
岙外,ào,wài
坳陷,ào,xiàn
坳新,ào,xīn
傲岸,ào,àn
傲骨,ào,gǔ
傲慢,ào,màn
傲耐,ào,nài
傲气,ào,qì
傲然,ào,rán
傲刃,ào,rèn
傲世,ào,shì
傲视,ào,shì
傲物,ào,wù
奥贝,ào,bèi
奥铂,ào,bó
奥博,ào,bó
奥步,ào,bù
奥迪,ào,dí
奥杜,ào,dù
奥反,ào,fǎn
奥芬,ào,fēn
奥孚,ào,fú
奥福,ào,fú
奥尕,ào,gǎ
奥根,ào,gēn
奥赫,ào,hè
奥环,ào,huán
奥黄,ào,huáng
奥辉,ào,huī
奥佳,ào,jiā
奥健,ào,jiàn
奥捷,ào,jié
奥晶,ào,jīng
奥克,ào,kè
奥兰,ào,lán
奥朗,ào,lǎng
奥雷,ào,léi
奥卢,ào,lú
奥络,ào,luò
奥玛,ào,mǎ
奥美,ào,měi
奥秘,ào,mì
奥免,ào,miǎn
奥妙,ào,miào
奥姆,ào,mǔ
奥南,ào,nán
奥妮,ào,nī
奥哌,ào,pài
奥齐,ào,qí
奥琪,ào,qí
奥伤,ào,shāng
奥申,ào,shēn
奥斯,ào,sī
奥索,ào,suǒ
奥泰,ào,tài
奥陶,ào,táo
奥汀,ào,tīng
奥图,ào,tú
奥信,ào,xìn
奥旭,ào,xù
奥逊,ào,xùn
奥援,ào,yuán
奥众,ào,zhòng
澳贝,ào,bèi
澳带,ào,dài
澳德,ào,dé
澳加,ào,jiā
澳鳉,ào,jiāng
澳朗,ào,lǎng
澳鲈,ào,lú
澳门,ào,mén
澳舒,ào,shū
澳丝,ào,sī
澳新,ào,xīn
澳星,ào,xīng
澳洲,ào,zhōu
懊恨,ào,hèn
懊悔,ào,huǐ
懊恼,ào,nǎo
懊丧,ào,sàng
八宝,bā,bǎo
八成,bā,chéng
八方,bā,fāng
八风,bā,fēng
八哥,bā,gē
八股,bā,gǔ
八卦,bā,guà
八荒,bā,huāng
八角,bā,jiǎo
八节,bā,jié
八路,bā,lù
八旗,bā,qí
八位,bā,wèi
八仙,bā,xiān
八邪,bā,xié
八音,bā,yīn
八珍,bā,zhēn
八字,bā,zì
巴楚,bā,chǔ
巴旦,bā,dàn
巴德,bā,dé
巴底,bā,dǐ
巴豆,bā,dòu
巴尔,bā,ěr
巴戟,bā,jǐ
巴金,bā,jīn
巴坎,bā,kǎn
巴库,bā,kù
巴朗,bā,lǎng
巴梨,bā,lí
巴黎,bā,lí
巴林,bā,lín
巴鲁,bā,lǔ
巴马,bā,mǎ
巴美,bā,měi
巴木,bā,mù
巴奈,bā,nài
巴南,bā,nán
巴青,bā,qīng
巴士,bā,shì
巴适,bā,shì
巴塔,bā,tǎ
巴泰,bā,tài
巴塘,bā,táng
巴替,bā,tì
巴统,bā,tǒng
巴旺,bā,wàng
巴望,bā,wàng
巴威,bā,wēi
巴县,bā,xiàn
巴欣,bā,xīn
巴掌,bā,zhǎng
巴州,bā,zhōu
巴珠,bā,zhū
扒板,bā,bǎn
扒车,bā,chē
扒粪,bā,fèn
扒糕,pá,gāo
扒鸡,pá,jī
扒开,bā,kāi
扒拉,pá,lā
扒炉,bā,lú
扒门,bā,mén
扒皮,bā,pí
扒窃,pá,qiè
扒手,pá,shǒu
扒胎,bā,tāi
扒渣,bā,zhā
芭蕉,bā,jiāo
芭乐,bā,lè
芭蕾,bā,lěi
疤斑,bā,bān
疤痕,bā,hén
疤瘌,bā,là
捌佰,bā,bǎi
捌千,bā,qiān
笆斗,bā,dǒu
笆篓,bā,lǒu
粑粑,bā,bā
拔草,bá,cǎo
拔除,bá,chú
拔镫,bá,dèng
拔地,bá,dì
拔掉,bá,diào
拔毒,bá,dú
拔高,bá,gāo
拔管,bá,guǎn
拔河,bá,hé
拔火,bá,huǒ
拔尖,bá,jiān
拔剑,bá,jiàn
拔脚,bá,jiǎo
拔节,bá,jié
拔锚,bá,máo
拔取,bá,qǔ
拔群,bá,qún
拔丝,bá,sī
拔腿,bá,tuǐ
拔擢,bá,zhuó
菝契,bá,qì
跋扈,bá,hù
跋涉,bá,shè
跋文,bá,wén
把柄,bǎ,bǐng
把持,bǎ,chí
把舵,bǎ,duò
把儿,bà,er
把风,bǎ,fēng
把关,bǎ,guān
把酒,bǎ,jǐu
把揽,bǎ,lǎn
把脉,bǎ,mài
把门,bǎ,mén
把式,bǎ,shì
把势,bǎ,shì
把手,bǎ,shǒu
把守,bǎ,shǒu
把头,bǎ,tóu
把玩,bǎ,wán
把稳,bǎ,wěn
把握,bǎ,wò
把晤,bǎ,wù
把戏,bǎ,xì
把盏,bǎ,zhǎn
把子,bà,zi
靶场,bǎ,chǎng
靶核,bǎ,hé
靶机,bǎ,jī
靶孔,bǎ,kǒng
靶台,bǎ,tái
靶心,bǎ,xīn
靶形,bǎ,xíng
靶纸,bǎ,zhǐ
靶子,bǎ,zǐ
坝坝,bà,bà
坝底,bà,dǐ
坝地,bà,dì
坝河,bà,hé
坝基,bà,jī
坝咀,bà,jǔ
坝美,bà,měi
坝南,bà,nán
坝首,bà,shǒu
坝田,bà,tián
坝型,bà,xíng
坝址,bà,zhǐ
坝子,bà,zǐ
爸爸,bà,ba
鲅科,bà,kē
霸道,bà,dào
霸菱,bà,líng
霸权,bà,quán
霸县,bà,xiàn
霸业,bà,yè
霸州,bà,zhōu
霸主,bà,zhǔ
吧嗒,bā,dā
吧柜,bā,guì
吧唧,bā,jī
吧女,bā,nǚ
吧桌,bā,zhuō
白案,bái,àn
白白,bái,bái
白柏,bái,bǎi
白班,bái,bān
白斑,bái,bān
白坂,bái,bǎn
白板,bái,bǎn
白版,bái,bǎn
白贝,bái,bèi
白布,bái,bù
白菜,bái,cài
白参,bái,shēn
白草,bái,cǎo
白层,bái,céng
白茶,bái,chá
白城,bái,chéng
白吃,bái,chī
白痴,bái,chī
白丑,bái,chǒu
白村,bái,cūn
白搭,bái,dā
白带,bái,dài
白丹,bái,dān
白道,bái,dào
白荻,bái,dí
白地,bái,dì
白甸,bái,diàn
白丁,bái,dīng
白町,bái,dīng
白豆,bái,dòu
白杜,bái,dù
白渡,bái,dù
白鹅,bái,é
白垩,bái,è
白鳄,bái,è
白发,bái,fà
白矾,bái,fán
白饭,bái,fàn
白费,bái,fèi
白粉,bái,fěn
白凤,bái,fèng
白浮,bái,fú
白府,bái,fǔ
白鸽,bái,gē
白宫,bái,gōng
白骨,bái,gǔ
白鹳,bái,guàn
白桂,bái,guì
白果,bái,guǒ
白蒿,bái,hāo
白河,bái,hé
白鹤,bái,hè
白虹,bái,hóng
白魟,bái,gōng
白喉,bái,hóu
白虎,bái,hǔ
白鳠,bái,hù
白花,bái,huā
白滑,bái,huá
白话,bái,huà
白桦,bái,huà
白鹮,bái,huán
白灰,bái,huī
白芨,bái,jī
白及,bái,jí
白鲫,bái,jì
白江,bái,jiāng
白降,bái,jiàng
白芥,bái,jiè
白金,bái,jīn
白睛,bái,jīng
白净,bái,jìng
白酒,bái,jǐu
白苣,bái,jù
白卷,bái,juàn
白口,bái,kǒu
白蔻,bái,kòu
白蜡,bái,là
白兰,bái,lán
白榄,bái,lǎn
白朗,bái,lǎng
白簕,bái,lè
白梨,bái,lí
白栎,bái,lì
白脸,bái,liǎn
白蔹,bái,liǎn
白磷,bái,lín
白蛉,bái,líng
白领,bái,lǐng
白楼,bái,lóu
白鹭,bái,lù
白露,bái,lù
白马,bái,mǎ
白脉,bái,mài
白芒,bái,máng
白毛,bái,máo
白茅,bái,máo
白梅,bái,méi
白门,bái,mén
白米,bái,mǐ
白鮸,bái,miǎn
白面,bái,miàn
白描,bái,miáo
白沫,bái,mò
白木,bái,mù
白嫩,bái,nèn
白腻,bái,nì
白判,bái,pàn
白奇,bái,qí
白旗,bái,qí
白扦,bái,qiān
白前,bái,qián
白区,bái,qū
白饶,bái,ráo
白热,bái,rè
白人,bái,rén
白刃,bái,rèn
白日,bái,rì
白肉,bái,ròu
白润,bái,rùn
白色,bái,sè
白山,bái,shān
白鳝,bái,shàn
白虱,bái,shī
白石,bái,shí
白食,bái,shí
白蚀,bái,shí
白事,bái,shì
白手,bái,shǒu
白首,bái,shǒu
白薯,bái,shǔ
白术,bái,zhú
白水,bái,shuǐ
白寺,bái,sì
白苏,bái,sū
白塔,bái,tǎ
白檀,bái,tán
白汤,bái,tāng
白糖,bái,táng
白藤,bái,téng
白蹄,bái,tí
白体,bái,tǐ
白天,bái,tiān
白条,bái,tiáo
白鲦,bái,tiáo
白厅,bái,tīng
白铜,bái,tóng
白潼,bái,tóng
白头,bái,tóu
白土,bái,tǔ
白兔,bái,tù
白微,bái,wēi
白薇,bái,wēi
白文,bái,wén
白雾,bái,wù
白皙,bái,xī
白鹇,bái,xián
白藓,bái,xiǎn
白苋,bái,xiàn
白相,bái,xiàng
白箱,bái,xiāng
白象,bái,xiàng
白橡,bái,xiàng
白熊,bái,xióng
白须,bái,xū
白煦,bái,xù
白雪,bái,xuě
白鲟,bái,xún
白垭,bái,yà
白眼,bái,yǎn
白扬,bái,yáng
白杨,bái,yáng
白药,bái,yào
白叶,bái,yè
白夜,bái,yè
白衣,bái,yī
白依,bái,yī
白蚁,bái,yǐ
白翳,bái,yì
白银,bái,yín
白英,bái,yīng
白鱼,bái,yú
白玉,bái,yù
白云,bái,yún
白渣,bái,zhā
白樟,bái,zhāng
白芝,bái,zhī
白芷,bái,zhǐ
白纸,bái,zhǐ
白质,bái,zhì
白种,bái,zhǒng
白昼,bái,zhòu
白竹,bái,zhú
白庄,bái,zhuāng
白撞,bái,zhuàng
白灼,bái,zhuó
白字,bái,zì
白族,bái,zú
百般,bǎi,bān
百倍,bǎi,bèi
百病,bǎi,bìng
百部,bǎi,bù
百草,bǎi,cǎo
百成,bǎi,chéng
百出,bǎi,chū
百定,bǎi,dìng
百度,bǎi,dù
百丰,bǎi,fēng
百福,bǎi,fú
百感,bǎi,gǎn
百官,bǎi,guān
百合,bǎi,hé
百盒,bǎi,hé
百宏,bǎi,hóng
百花,bǎi,huā
百会,bǎi,huì
百货,bǎi,huò
百径,bǎi,jìng
百墈,bǎi,kàn
百科,bǎi,kē
百矿,bǎi,kuàng
百兰,bǎi,lán
百劳,bǎi,láo
百里,bǎi,lǐ
百灵,bǎi,líng
百忙,bǎi,máng
百米,bǎi,mǐ
百亩,bǎi,mǔ
百衲,bǎi,nà
百年,bǎi,nián
百帕,bǎi,pà
百崎,bǎi,qí
百庆,bǎi,qìng
百色,bǎi,sè
百善,bǎi,shàn
百升,bǎi,shēng
百十,bǎi,shí
百世,bǎi,shì
百兽,bǎi,shòu
百坦,bǎi,tǎn
百万,bǎi,wàn
百微,bǎi,wēi
百位,bǎi,wèi
百物,bǎi,wù
百戏,bǎi,xì
百新,bǎi,xīn
百信,bǎi,xìn
百姓,bǎi,xìng
百讯,bǎi,xùn
百野,bǎi,yě
百业,bǎi,yè
百叶,bǎi,yè
百丈,bǎi,zhàng
百中,bǎi,zhòng
百株,bǎi,zhū
百滋,bǎi,zī
佰备,bǎi,bèi
佰鸿,bǎi,hóng
佰易,bǎi,yì
佰奕,bǎi,yì
柏城,bǎi,chéng
柏辉,bǎi,huī
柏加,bǎi,jiā
柏洁,bǎi,jié
柏径,bǎi,jìng
柏科,bǎi,kē
柏兰,bǎi,lán
柏林,bó,lín
柏龙,bǎi,lóng
柏木,bǎi,mù
柏山,bǎi,shān
柏树,bǎi,shù
柏溪,bǎi,xī
柏乡,bǎi,xiāng
柏叶,bǎi,yè
柏油,bǎi,yóu
柏脂,bǎi,zhī
柏姿,bǎi,zī
捭阖,bǎi,hé
摆布,bǎi,bù
摆动,bǎi,dòng
摆渡,bǎi,dù
摆放,bǎi,fàng
摆件,bǎi,jiàn
摆锯,bǎi,jù
摆开,bǎi,kāi
摆阔,bǎi,kuò
摆列,bǎi,liè
摆门,bǎi,mén
摆弄,bǎi,nòng
摆平,bǎi,píng
摆谱,bǎi,pǔ
摆设,bǎi,shè
摆手,bǎi,shǒu
摆摊,bǎi,tān
摆脱,bǎi,tuō
摆芽,bǎi,yá
摆秧,bǎi,yāng
摆仪,bǎi,yí
摆闸,bǎi,zhá
摆钟,bǎi,zhōng
摆柱,bǎi,zhù
摆桌,bǎi,zhuō
败北,bài,běi
败笔,bài,bǐ
败兵,bài,bīng
败草,bài,cǎo
败毒,bài,dú
败坏,bài,huài
败火,bài,huǒ
败绩,bài,jì
败家,bài,jiā
败将,bài,jiàng
败酱,bài,jiàng
败局,bài,jú
败军,bài,jūn
败类,bài,lèi
败露,bài,lù
败落,bài,luò
败诉,bài,sù
败退,bài,tuì
败亡,bài,wáng
败谢,bài,xiè
败兴,bài,xìng
败絮,bài,xù
败叶,bài,yè
败仗,bài,zhàng
败者,bài,zhě
败阵,bài,zhèn
败走,bài,zǒu
拜拜,bài,bài
拜别,bài,bié
拜忏,bài,chàn
拜城,bài,chéng
拜辞,bài,cí
拜倒,bài,dǎo
拜垫,bài,diàn
拜读,bài,dú
拜尔,bài,ěr
拜访,bài,fǎng
拜佛,bài,fó
拜贺,bài,hè
拜会,bài,huì
拜见,bài,jiàn
拜节,bài,jié
拜金,bài,jīn
拜客,bài,kè
拜雷,bài,léi
拜领,bài,lǐng
拜伦,bài,lún
拜盟,bài,méng
拜年,bài,nián
拜泉,bài,quán
拜师,bài,shī
拜寿,bài,shòu
拜堂,bài,táng
拜托,bài,tuō
拜望,bài,wàng
拜谢,bài,xiè
拜谒,bài,yè
稗草,bài,cǎo
稗属,bài,shǔ
稗子,bài,zǐ
扳道,bān,dào
扳动,bān,dòng
扳回,bān,huí
扳机,bān,jī
扳钳,bān,qián
扳手,bān,shǒu
扳牙,bān,yá
扳至,bān,zhì
扳住,bān,zhù
扳子,bān,zǐ
班疤,bān,bā
班禅,bān,chán
班车,bān,chē
班次,bān,cì
班底,bān,dǐ
班房,bān,fáng
班戈,bān,gē
班会,bān,huì
班机,bān,jī
班级,bān,jí
班戟,bān,jǐ
班井,bān,jǐng
班轮,bān,lún
班玛,bān,mǎ
班尼,bān,ní
班期,bān,qī
班师,bān,shī
班枣,bān,zǎo
班长,bān,zhǎng
班主,bān,zhǔ
班桌,bān,zhuō
班子,bān,zi
般若,bō,rě
颁布,bān,bù
颁奖,bān,jiǎng
颁牌,bān,pái
颁旨,bān,zhǐ
斑疤,bān,bā
斑白,bān,bái
斑斑,bān,bān
斑鳖,bān,biē
斑驳,bān,bó
斑带,bān,dài
斑点,bān,diǎn
斑鳜,bān,guì
斑痕,bān,hén
斑鳠,bān,hù
斑鱾,bān,jǐ
斑鰶,bān,jì
斑颊,bān,jiá
斑鳉,bān,jiāng
斑晶,bān,jīng
斑鸠,bān,jīu
斑块,bān,kuài
斑斓,bān,lán
斑鳢,bān,lǐ
斑龙,bān,lóng
斑马,bān,mǎ
斑茅,bān,máo
斑蝥,bān,máo
斑蟊,bān,máo
斑鮨,bān,qí
斑鳍,bān,qí
斑贴,bān,tiē
斑秃,bān,tū
斑纹,bān,wén
斑蟋,bān,xī
斑鳐,bān,yáo
斑蛰,bān,zhé
斑疹,bān,zhěn
斑痣,bān,zhì
斑竹,bān,zhú
斑渍,bān,zì
搬兵,bān,bīng
搬动,bān,dòng
搬家,bān,jiā
搬弄,bān,nòng
搬迁,bān,qiān
搬取,bān,qǔ
搬移,bān,yí
搬用,bān,yòng
搬运,bān,yùn
瘢痕,bān,hén
阪陂,bǎn,bēi
阪泉,bǎn,quán
板报,bǎn,bào
