僞	偽
基里巴斯	吉里巴斯
激光	鐳射
激活	啟用
吉布堤	吉布地
集成	整合
集成電路	積體電路
集羣	叢集
幾內亞比紹	幾內亞比索
計算機安全	電腦保安
計算機科學	電腦科學
寄存器	暫存器
加納	迦納
加蓬	加彭
加載	載入
兼容	相容
剪切	剪下
剪貼板	剪貼簿
交互	互動
腳本	指令碼
接口	介面
截屏	截圖
截取	擷取
解釋器	直譯器
界面	介面
金屬氧化物半導體	金氧半導體
津巴布韋	辛巴威
進程	程序
進制	進位制
晶體管	電晶體
晶閘管	閘流體
鏡像	映象
局部	區域性
局域網	區域網
句柄	控制代碼
捲積	摺積
咖喱	咖哩
卡塔爾	卡達
科摩羅	葛摩
科特迪瓦	象牙海岸
可視化	視覺化
克羅地亞	克羅埃西亞
刻錄	燒錄
肯尼亞	肯亞
空分多址	分空間多重進接
空分複用	空間多工
控件	控制元件
寬帶	寬頻
擴展	擴充套件
擴展名	副檔名
萊索托	賴索托
藍牙	藍芽
老撾	寮國
類模板	類别範本
類型	型別
利比里亞	賴比瑞亞
連接	連線
連接器	聯結器
聯繫	聯絡
聯繫歷史	通話記錄
鏈表	連結串列
鏈接	連結
涼菜	冷盤
列支敦士登	列支敦斯登
盧旺達	盧安達
錄像	錄影
邏輯門	邏輯閘
馬爾代夫	馬爾地夫
馬里共和國	馬利共和國
碼分多址	分碼多重進接
碼率	位元速率
毛里求斯	模里西斯
毛里塔尼亞	茅利塔尼亞
冒泡排序	氣泡排序
枚舉	列舉
門電路	閘電路
門戶網站	入口網站
密鑰	金鑰
免提	擴音
面向對象	物件導向
面向過程	程序導向
命令行	命令列
命令式編程	指令式程式設計
命名空間	名稱空間
模塊	模組
模擬	模擬
模擬電路	類比電路
模擬電子	類比電子
莫桑比克	莫三比克
默認	預設
目標代碼	目的碼
納米	奈米
奶酪	乳酪
瑙魯	諾魯
內存	記憶體
內核	核心
內聯函數	行內函數
內置	內建
尼日爾	尼日
尼日利亞	奈及利亞
歐拉	尤拉
帕勞	帛琉
盤符	碟符
盤片	碟片
拋出	丟擲
皮膚	面板
頻分多址	分頻多重進接
頻分複用	分頻多工
屏蔽	遮蔽
屏幕	螢幕
前綴	字首
嵌套	巢狀
全角	全形
全局	全域性
權限	許可權
缺省	預設
任務管理器	工作管理員
任務欄	工作列
軟件	軟體
軟驅	軟碟機
塞拉利昂	獅子山
塞浦路斯	塞普勒斯
塞舌爾	塞席爾
三極管	三極體
散列	雜湊
掃描儀	掃描器
沙特阿拉伯	沙烏地阿拉伯
殺毒	防毒
閃存	快閃記憶體
社區	社羣
設備	裝置
設置	設定
審覈	稽覈
聲卡	音效卡
聲明	宣告
聖基茨和尼維斯	聖克里斯多福及尼維斯
聖盧西亞	聖露西亞
聖馬力諾	聖馬利諾
聖文森特和格林納丁斯	聖文森及格瑞那丁
時分多址	分時多重進接
時分複用	分時多工
時鐘頻率	時脈頻率
實例	例項
實模式	真實模式
矢量	向量
視頻	視訊
視圖	檢視
適配器	介面卡
首席技術官	技術長
首席信息官	資訊長
首席運營官	營運長
首席執行官	執行長
鼠標	滑鼠
數據	資料
數據報	資料包
數據倉庫	資料倉儲
數據挖掘	資料探勘
數據源	資料來源
數字	數字
數字電路	數位電路
數字電子	數位電子
數字印刷	數位印刷
數組	陣列
刷新	重新整理
斯洛文尼亞	斯洛維尼亞
斯威士蘭	史瓦濟蘭
死機	宕機
搜索	搜尋
蘇里南	蘇利南
算法	演算法
算子	運算元
縮進	縮排
縮略圖	縮圖
所羅門羣島	索羅門羣島
索馬里	索馬利亞
塔吉克斯坦	塔吉克
臺式機	桌上型電腦
坦桑尼亞	坦尚尼亞
特立尼達和多巴哥	千里達及托巴哥
添加	新增
通配符	萬用字元
通信	通訊
通訊卡	通話卡
頭文件	標頭檔案
突尼斯	突尼西亞
圖標	圖示
圖庫	相簿
圖瓦盧	吐瓦魯
圖像	影象
土庫曼斯坦	土庫曼
脫機	離線
瓦努阿圖	萬那杜
外鍵	外來鍵
外置	外接
萬維網	全球資訊網
萬象	永珍
網吧	網咖
網關	閘道器
網卡	網絡卡
網絡	網路
網上鄰居	網路上的芳鄰
危地馬拉	瓜地馬拉
僞代碼	虛擬碼
位圖	點陣圖
溫納圖萬	那杜
文本	文字
文檔	文件
文件	檔案
文件夾	資料夾
文件擴展名	副檔名
文件名	檔名
文萊	汶萊
文字處理	文書處理
烏茲別克斯坦	烏茲別克
無損壓縮	無失真壓縮
物理地址	實體地址
物理內存	實體記憶體
析構函數	解構函式
下拉列表	下拉選單
仙童半導體	快捷半導體
顯存	視訊記憶體
顯卡	顯示卡
顯像管	映象管
線程	執行緒
相冊	相簿
香農	夏農
項目	專案
像素	畫素
消息	訊息
寫保護	防寫
卸載	解除安裝
芯片	晶片
新西蘭	紐西蘭
信道	通道
信號	訊號
信息	資訊
信息安全	資訊保安
信息技術	資訊科技
信息論	資訊理論
信噪比	訊雜比
性價比	價效比
性能	效能
虛函數	虛擬函式
虛擬機	虛擬機器
循環	迴圈
尋址	定址
演示文稿	簡報
也門	葉門
頁腳	頁尾
頁眉	頁首
移動電話	行動電話
移動通信	行動通訊
移動網絡	行動網路
移動硬盤	行動硬碟
移動資料	行動資料
以太網	乙太網
異步	非同步
意大利	義大利
溢出	溢位
音頻	音訊
引導程序	載入程式
映射	對映
硬件	硬體
硬盤	硬碟
用戶	使用者
用戶名	使用者名稱
優先級	優先順序
有損壓縮	有失真壓縮
預處理器	前處理器
元編程	超程式設計
元數據	後設資料
元音	母音
原代碼	原始碼
源代碼	原始碼
源碼	原始碼
源文件	原始檔
遠程	遠端
雲存儲	雲端儲存
雲計算	雲端計算
運行	執行
運算符	運算子
在線	線上
贊比亞	尚比亞
乍得	查德
粘貼	貼上
正則表達式	正規表示式
支持	支援
知識產權	智慧財產權
指針	指標
智能	智慧
中間件	中介軟體
重命名	重新命名
重載	過載
重裝	重灌
主板	主機板
主引導記錄	主開機記錄
註冊表	登錄檔
註冊機	序號產生器
註銷	登出
狀態欄	狀態列
桌面型	桌上型
自動轉屏	自動旋轉螢幕
自行車	腳踏車
字段	欄位
字符	字元
字符串	字串
字節	位元組
字庫	字型檔
字體	字型
總線	匯流排
組件	元件
最終用戶	終端使用者
