㐷	傌
暗劣	闇劣
暗乱	闇亂
暗伦	闇倫
暗昧	闇昧
暗冥	闇冥
暗莫	闇莫
暗浅	闇淺
暗然	闇然
暗弱	闇弱
暗诵	闇誦
暗叹	暗歎
暗跳	闇跳
盎盂相系	盎盂相繫
敖荡	敖盪
熬姜呷醋	熬薑呷醋
熬制	熬製
鼇头独占	鼇頭獨占
傲游志	傲遊志
奥里里亚	奧里里亞
奥里萨	奧里薩
奥斯伯	奧斯伯
奥特	奧特
奥特朗	奧特朗
奥特朗托	奧特朗托
奥托	奧托
澳普利	澳普利
八斗	八斗
八蜡	八蜡
八里	八里
八辟	八辟
八扎	八紮
八只	八隻
八周	八週
八字	八字
八字胡	八字鬍
巴斗	巴斗
巴拉松	巴拉松
巴厘岛	巴厘島
巴里	巴里
巴利扎尔	巴利扎爾
巴纳扎尔	巴納扎爾
巴松	巴鬆
巴松管	巴松管
巴托丽	巴托麗
巴托莉	巴托莉
巴游	巴游
芭托莉	芭托莉
笆斗	笆斗
拔发	拔髮
拔须	拔鬚
拔宅上升	拔宅上昇
把饭叫饥	把飯叫饑
吧台	吧檯
吧托女	吧托女
白发	白髮
白发银须	白髮銀鬚
白粉	白粉
白粉面	白粉麪
白杆兵	白桿兵
白干	白乾
白骨	白骨
白骨松	白骨松
白果	白果
白果松	白果松
白胡	白鬍
白里安	白里安
白面	白麪
白面无须	白面無鬚
白皮	白皮
白皮松	白皮松
白千层	白千層
白日难回光	白日難回光
白术	白朮
白松	白松
白须	白鬚
白羽插腰间	白羽插腰間
白玉换斗粟	白玉換鬥粟
白云	白雲
白云岩	白雲岩
百不当一	百不當一
百谷	百穀
百花	百花
百花历	百花曆
百里	百里
百炼	百鍊
百辟	百辟
百叶	百葉
百叶卷	百葉捲
百扎	百紮
百折千回	百折千回
百只	百隻
柏节松操	柏節松操
摆布	擺佈
摆荡	擺盪
摆钟	擺鐘
拜斗	拜斗
拜复	拜覆
拜里弗	拜裏弗
拜岳	拜岳
拜占庭	拜占庭
班衣戏彩	班衣戲彩
颁布	頒佈
斑岩	斑岩
斑衣戏彩	斑衣戲彩
板板	闆闆
板栗	板栗
板岩	板岩
办公	辦公
办公台	辦公檯
办伙	辦伙
办理一	辦理一
半干	半乾
半里	半里
半托	半托
半只	半隻
拌面	拌麪
绑扎	綁紮
棒子	棒子
棒子面	棒子麪
包干	包乾
包谷	包穀
包伙	包伙
包扎	包紮
包占	包占
褒采一介	褒采一介
褒赞	褒讚
薄幸	薄倖
宝丰	寶丰
宝里宝气	寶里寶氣
宝历	寶曆
宝志	寶誌
保险	保險
保险杆	保險桿
抱大足杆	抱大足桿
抱火卧薪	抱火臥薪
抱朴	抱朴
杯布	杯佈
杯干	杯乾
杯面	杯麪
杯赛	盃賽
悲戚	悲慼
悲筑	悲筑
碑志	碑誌
北斗	北斗
北回	北迴
北里	北里
北征	北征
贝尔	貝爾
贝尔托內	貝爾托內
贝里	貝里
贝那芬托	貝那芬托
贝那普利	貝那普利
贝胄	貝冑
备御	備禦
备注	備註
背榜	揹榜
背包	揹包
背出	背出
背出去	揹出去
背带	揹帶
背负	揹負
背回	揹回
背饥荒	揹饑荒
背筐	揹筐
背來	揹來
背篓	揹簍
背你	揹你
背人	揹人
背酸	背痠
背他	揹他
背她	揹她
背我	揹我
背物	揹物
背小孩	揹小孩
背债	揹債
背着	揹着
背走	揹走
被发	被髮
被复	被複
被人背	被人揹
被头	被頭
被头散发	被頭散髮
焙干	焙乾
呗赞	唄讚
本里	本里
本周	本週
畚斗	畚斗
逼并	逼併
鼻梁	鼻樑
鼻烟	鼻菸
比杆赛	比桿賽
比干	比干
彼得	彼得
彼得里皿	彼得里皿
秕谷	秕穀
笔杆	筆桿
笔管	筆管
笔管面	筆管麪
笔卷	筆捲
笔秃墨干	筆禿墨乾
毕升	畢昇
庇里牛斯	庇里牛斯
庇荫	庇廕
铋卷线	鉍卷線
碧眼紫须	碧眼紫鬚
弊幸	弊倖
壁志	壁誌
壁钟	壁鐘
避凶就吉	避凶就吉
避凶趋吉	避凶趨吉
嬖幸	嬖倖
臂一卷	臂一捲
砭针	砭鍼
编发	編髮
编余	編余
编钟	編鐘
鞭辟近里	鞭辟近裏
鞭辟入里	鞭辟入裏
扁拟谷盗虫	扁擬穀盜蟲
变速	變速
变速杆	變速桿
变质	變質
变质岩	變質岩
便吃干	便吃乾
便辟	便辟
遍布	遍佈
辨奸论	辨姦論
辫发	辮髮
标占	標占
标志	標誌
标致	標緻
标注	標註
标准	標準
标准杆	標準桿
表板	錶板
表厂	錶廠
表带	錶帶
表的	表的
表的嘀嗒	錶的嘀嗒
表的历史	錶的歷史
表店	錶店
表冠	錶冠
表行	錶行
表壳	錶殼
表快	錶快
表款	錶款
表链	錶鏈
表慢	錶慢
表蒙子	錶蒙子
表盘	錶盤
表速	錶速
表停	錶停
表王	錶王
表邪被湿持于里	表邪被溼持於裏
表演	表演
表演欲	表演慾
表针	錶針
表转	錶轉
别别扭扭	彆彆扭扭
别口气	彆口氣
别扭	彆扭
别拗	彆拗
别气	彆氣
别强	彆強
别日南鸿才北去	別日南鴻纔北去
别墅小长干	別墅小長幹
别着	彆着
别只	別隻
别致	別緻
别嘴	彆嘴
玢岩	玢岩
滨松	濱鬆
滨松市	濱松市
鬓发	鬢髮
冰斗	冰斗
冰碛	冰磧
冰碛岩	冰磧岩
冰岩	冰岩
饼干	餅乾
禀复	稟覆
并案	併案
并包	幷包
并不	並不
并不并	併不併
并产	併產
并成	併成
并除	併除
并到	併到
并叠	併疊
并发	併發
并购	併購
并骨	併骨
并合	併合
并火	併火
并肩	並肩
并肩子	併肩子
并兼	併兼
并卷机	併捲機
并科	併科
并力	併力
并拢	併攏
并名	併名
并入	併入
并纱	併紗
并吞	併吞
并网	併網
并为	併爲
并线	併線
并一不二	併一不二
并赃拿贼	併贓拿賊
并赃治罪	併贓治罪
并州	幷州
病愈	病癒
拨谷	撥穀
拨弦	撥絃
波荡	波盪
波尔干	波爾干
波发藻	波髮藻
波里	波里
剥制	剝製
菠萝	菠蘿
菠萝干	菠蘿乾
伯里克利	伯里克利
伯娘	伯孃
伯余	伯余
泊松	泊松
泊松分布	泊松分佈
博汇	博彙
簸荡	簸盪
卜征	卜征
逋发	逋髮
补扣	補釦
补注	補註
捕风系影	捕風繫影
捕虏岩	捕虜岩
捕影系风	捕影繫風
哺喂	哺餵
不并	不併
不惮	不憚
不惮强御	不憚強禦
不吊	不弔
不负所托	不負所托
不干	不幹
不干不净	不乾不淨
不干不淨吃了没病	不乾不淨吃了沒病
不干己事	不干己事
不干胶	不乾膠
不干你	不干你
不干他	不干他
不干它	不干它
不干她	不干她
不干我	不干我
不谷	不穀
不好	不好
不好干預	不好干預
不能捐斗粟	不能捐鬥粟
不气干	不氣干
不舍	不捨
不声不气	不聲不氣
不食干腊	不食乾腊
不讨采	不討采
不通吊庆	不通弔慶
不畏	不畏
不畏强御	不畏強禦
不系	不繫
不赞	不讚
不占	不佔
不占吉凶	不占吉凶
不占算	不占算
不占凶吉	不占凶吉
不准	不準
不准翻印	不准翻印
不准没	不准沒
不准你	不准你
不准谁	不准誰
不准他	不准他
不准它	不准它
不准她	不准她
不准问	不准問
不准我	不准我
布摆	佈擺
布班尼斯瓦	布班尼斯瓦
布菜	佈菜
布慈	佈慈
布道	佈道
布德	佈德
布防	佈防
布复	布覆
布干维尔	布干維爾
布岗	佈崗
布告	佈告
布谷	布穀
布谷鸟钟	布穀鳥鐘
布划	佈劃
布会	佈會
布教	佈教
布景	佈景
布局	佈局
布扣	佈扣
布莱克波尔	布萊克波爾
布雷	佈雷
布里	布里
布里斯托	布里斯托
布列	佈列
布鲁	布魯
布鲁托	布魯托
布伦	布倫
布伦托海	布倫托海
布满	佈滿
布囊	布囊
布囊其口	佈囊其口
布让	佈讓
布散	佈散
布哨	佈哨
布设	佈設
布施	佈施
布势	佈勢
布署	佈署
布托	布托
布网	佈網
布下	佈下
布线	佈線
布雪	佈雪
布一个	佈一個
布疑阵	佈疑陣
布于	佈於
布阵	佈陣
布政	佈政
布置	佈置
步步高升	步步高昇
步斗踏罡	步斗踏罡
步罡踏斗	步罡踏斗
擦干	擦乾
猜三划五	猜三划五
才不	纔不
才出	纔出
才此	纔此
才打	纔打
才当曹斗	才當曹斗
才到	纔到
才得到	纔得到
才得两年	纔得兩年
才等	纔等
才读	纔讀
才对	纔對
才多	纔多
才敢	纔敢
才干	才幹
才干杯	纔乾杯
才干旱	纔乾旱
才干淨	纔乾淨
才干透	纔乾透
才刚	纔剛
才给	纔給
才跟	纔跟
才够	纔夠
才怪	纔怪
才过来	纔過來
才过去	纔過去
才行	纔行
才好	纔好
才回	纔回
才会	纔會
才将	纔將
才讲	纔講
才开	纔開
才看	纔看
才可	纔可
才来	纔來
才料	纔料
才买	纔買
才没	纔沒
才拿	纔拿
才能	才能
才能夠	纔能夠
才能勇敢追	纔能勇敢追
才能有	纔能有
才派	纔派
才起来	纔起來
才去	纔去
才上到	纔上到
才上来	纔上來
才上去	纔上去
才始	纔始
才是	纔是
才松下	纔鬆下
才算	纔算
才爲	纔爲
才下来	纔下來
才下去	纔下去
才想	纔想
才像	纔像
才信	纔信
才要	纔要
才用	才用
才用到	纔用到
才有	纔有
才再	纔再
才在	纔在
才则	纔則
裁并	裁併
裁制	裁製
采采	采采
采椽不斲	采椽不斲
采地	采地
采蘩	采蘩
采风	採風
采风录	采風錄
采葛	采葛
采光	採光
采光剖璞	采光剖璞
采缉	采緝
采及葑菲	采及葑菲
采兰兼衣锦	採蘭兼衣錦
采兰赠芍	采蘭贈芍
采烈	采烈
采苓	采苓
采绿	采綠
采女	采女
采芑	采芑
采芹	采芹
采色	采色
采声	采聲
采诗	采詩
采石	採石
采石之役	采石之役
采石之战	采石之戰
采石之戰	采石之戰
采菽	采菽
采头	采頭
采薇	采薇
采薪	採薪
采薪之疾	采薪之疾
采薪之忧	采薪之憂
采衣	采衣
采邑	采邑
采制	採製
彩笔	彩筆
彩笔生	彩筆生
彩笔生花	綵筆生花
彩绸	綵綢
彩船	綵船
彩带	綵帶
彩缎	綵緞
彩凤	綵鳳
彩蛤攒锦囊	彩蛤攢錦囊
彩楼	綵樓
彩鸾	綵鸞
彩女	綵女
彩牌楼	綵牌樓
彩棚	綵棚
彩球	綵球
彩胜	綵勝
彩线	綵線
彩衣	綵衣
彩缯	綵繒
菜干	菜乾
菜苔	菜薹
蔡松坡	蔡松坡
参横斗转	參橫鬥轉
参回斗转	參回鬥轉
参茸	蔘茸
参绥	蔘綏
参汤	蔘湯
餐松啖柏	餐松啖柏
餐松食柏	餐松食柏
餐松饮涧	餐松飲澗
餐台	餐檯
残雪乱山中	殘雪亂山中
蚕头凤尾	蠶頭鳳尾
惨戚	慘慼
苍发	蒼髮
苍术	蒼朮
苍松	蒼松
沧浪渡头柳花发	滄浪渡頭柳花發
沧溟在一毫	滄溟在一毫
藏历	藏曆
藏蒙歌儿	藏矇歌兒
操纵	操縱
操纵杆	操縱桿
操纵台	操縱檯
操作	操作
操作台	操作檯
操作钟	操作鐘
曹郁芬	曹郁芬
漕挽	漕輓
艸木丰丰	艸木丰丰
草庵	草菴
草荐	草荐
草签	草簽
草思晴后发	草思晴後發
草席	草蓆
测利得	測利得
测量	測量
测量杆	測量桿
涔阳女儿花满头	涔陽女兒花滿頭
杈杆儿	杈桿兒
茶几	茶几
茶面	茶麪
茶托	茶托
茶已干	茶已乾
查核	查覈
査报表	查報表
査表	查表
査不出	查不出
査出	查出
査兑克	查兌克
査号台	查號臺
査回	查回
査获	查獲
査价	查價
査卷	查卷
査克拉	查克拉
査问出	查問出
査无实据	查無實據
査修	查修
査询台	查詢檯
査找周期	查找週期
搽穰卷儿	搽穰捲兒
察核	察覈
柴门空闭锁松筠	柴門空閉鎖鬆筠
产后	產後
产后检査	產後檢查
产制	產製
铲板	剷板
铲草	剷草
铲铲	剷剷
铲车	剷車
铲出	剷出
铲除	剷除
铲刀	剷刀
铲倒	剷倒
铲掉	剷掉
铲斗	剷鬥
铲断	剷斷
铲煤	剷煤
铲平	剷平
铲起	剷起
铲抢	剷搶
铲球	剷球
铲伤	剷傷
铲射	剷射
铲土	剷土
铲下	剷下
铲雪	剷雪
铲刈	剷刈
铲凿	剷鑿
肠系膜	腸繫膜
肠脏	腸臟
尝遍	嚐遍
尝尝	嚐嚐
尝出	嚐出
尝胆卧薪	嘗膽臥薪
尝到	嚐到
尝点	嚐點
尝个	嚐個
尝尽	嚐盡
尝来尝去	嚐來嚐去
尝了	嚐了
尝了尝	嚐了嚐
尝起来	嚐起來
尝鲜	嚐鮮
厂部	厂部
唱念	唱唸
超基性岩	超基性岩
超级	超級
超级杯	超級盃
超赞	超讚
朝骑五花马	朝騎五花馬
朝钟	朝鐘
潮回远复平	潮回遠復平
潮烟	潮菸
炒面	炒麪
车斗	車斗
车夫	車伕
车里	車裏
车里雅宾斯克	車里雅賓斯克
车仔面	車仔麪
扯面	扯麪
扯纤	扯縴
撤并	撤併
尘陌望松雪	塵陌望鬆雪
沉积	沉積
沉积金	沉積金
沉积岩	沉積岩
陈冲	陳沖
陈干村	陳幹村
陈汉升	陳漢昇
陈杰	陳杰
陈炼	陳鍊
陈升	陳昇
陈世杰	陳世杰
陈万松	陳萬松
陈幸	陳幸
陈幸嫚	陳倖嫚
陈尹杰	陳尹杰
陈瀛钟	陳瀛鐘
陈郁秀	陳郁秀
晨钟	晨鐘
衬托	襯托
称叹	稱歎
称赞	稱讚
蛏干	蟶乾
成岩	成巖
成岩作用	成岩作用
呈准	呈准
承制	承製
乘凶完配	乘凶完配
秤杆	秤桿
秤平斗满	秤平斗滿
吃板刀面	吃板刀麪
吃饱了饭撑的	吃飽了飯撐的
吃饱没事干	吃飽沒事幹
吃不出	吃不出
吃不了	吃不了
吃出	吃出
吃错药	吃錯藥
吃得出	吃得出
吃得了	吃得了
吃地面	吃地面
吃钉板	吃釘板
吃豆干	吃豆乾
吃饭	喫飯
吃饭别忘了种谷人	吃飯別忘了種穀人
吃饭家伙	吃飯家伙
吃饭傢伙	吃飯傢伙
吃干醋	吃乾醋
吃干了	吃乾了
吃挂络儿	吃掛絡兒
吃过面	吃過麪
吃合家欢	吃合家歡
吃后悔药	吃後悔藥
吃回头草	吃回頭草
吃几碗干饭	吃幾碗乾飯
吃姜	吃薑
吃尽	吃盡
吃亏	喫虧
吃亏就是占便宜	吃虧就是佔便宜
吃亏上当	吃虧上當
吃辣面	吃辣麪
吃了	吃了
吃里扒外	吃裏扒外
吃里爬外	吃裏爬外
吃面	吃麪
吃枪药	吃槍藥
吃敲才	吃敲才
吃人虫	吃人蟲
吃人一个蛋恩情无法断	吃人一個蛋恩情無法斷
吃伤了	吃傷了
吃完面	吃完麪
吃闲饭	吃閒飯
吃闲话	吃閒話
吃烟	吃煙
吃药	吃藥
吃一顿挨一顿	吃一頓挨一頓
喫亏的是乖占便宜的是呆	喫虧的是乖占便宜的是呆
池内设置斜管	池內設置斜管
迟回	遲迴
持男易斗粟	持男易鬥粟
尺布斗粟	尺布斗粟
尺寸	尺寸
尺寸斗粟	尺寸斗粟
齿发	齒髮
齿危发秀	齒危髮秀
斥卤	斥鹵
赤绳系足	赤繩繫足
赤术	赤朮
赤松	赤松
冲鼻	沖鼻
冲厕所	沖廁所
冲茶	沖茶
冲冲	沖沖
冲牀工	沖牀工
冲淡	沖淡
冲涤	沖滌
冲掉	沖掉
冲断	沖斷
冲服	沖服
冲沟	沖溝
冲冠	衝冠
冲冠发怒	衝冠髮怒
冲冠怒发	衝冠怒發
冲和	沖和
冲怀	沖懷
冲坏	沖壞
冲毁	沖毀
冲积	沖積
冲剂	沖劑
冲襟	沖襟
冲决	沖決
冲克	沖剋
冲空	衝空
冲空机	沖空機
冲垮	沖垮
冲扩	沖擴
冲凉	沖涼
冲淋	衝淋
冲淋浴	沖淋浴
冲龄	沖齡
冲流	沖流
冲昧	沖昧
冲模	沖模
冲末	沖末
冲默	沖默
冲年	沖年
冲泡	沖泡
冲人	沖人
冲弱	沖弱
冲绳	沖繩
冲蚀	沖蝕
冲刷	沖刷
冲水	沖水
冲税	沖稅
冲塌	沖塌
冲天	沖天
冲田	沖田
冲洗	沖洗
冲喜	沖喜
冲销	沖銷
冲霄	沖霄
冲泻	沖瀉
冲虚	沖虛
冲印	沖印
冲澡	沖澡
冲帐	沖帳
冲州撞府	衝州撞府
冲走	沖走
充气公仔	充氣公仔
舂谷	舂穀
虫部	虫部
虫吃牙	蟲吃牙
抽斗	抽斗
抽干	抽乾
抽烟	抽菸
仇仇	仇讎
惆怅梅花发	惆悵梅花發
丑旦	丑旦
丑角	丑角
丑年	丑年
丑牛	丑牛
丑奴儿	醜奴兒
丑日	丑日
丑三	丑三
丑时	丑時
丑月	丑月
偢采	偢采
瞅下表	瞅下錶
瞅下钟	瞅下鐘
臭局	臭侷
臭熏熏	臭燻燻
出陈布新	出陳佈新
出丑	出醜
出丑狼借	出醜狼藉
出儿	齣兒
出关策匹马	出關策匹馬
出家	出家
出家人	出家人
出家人吃八方	出家人吃八方
出戏	齣戲
出汙泥而不染	出污泥而不染
出征	出征
初征	初征
除旧布新	除舊佈新
触须	觸鬚
搋面	搋麪
川谷	川穀
川后	川后
川原无不通	川原無不通
传布	傳佈
传位于四太子	傳位于四太子
船夫	船伕
船娘	船孃
船只	船隻
船钟	船鐘
遄征	遄征
串游	串游
窗明几净	窗明几淨
窗明几亮	窗明几亮
窗外齐垂旭日初	窗外齊垂旭日初
床席	牀蓆
闯炼	闖鍊
创获	創穫
创巨	創鉅
创意	創意
创意杯	創意盃
吹发	吹髮
吹干	吹乾
吹胡	吹鬍
炊臼之戚	炊臼之鏚
炊烟	炊煙
炊烟袅袅	炊煙裊裊
垂发	垂髮
捶炼	捶鍊
捶台拍凳	捶檯拍凳
锤炼	錘鍊
春城见松雪	春城見鬆雪
春卷	春捲
春笋怒发	春筍怒發
春武里府	春武里府
春夏里	春夏裏
唇干	脣乾
唇焦口燥	脣焦口燥
唇燥舌干	脣燥舌乾
脣若抹朱	脣若抹硃
脣若涂朱	脣若塗硃
脣似抹朱	脣似抹硃
淳和睹太初	淳和睹太初
淳于	淳于
醇郁	醇郁
词采	詞采
词汇	詞彙
辞采	辭采
辞汇	辭彙
慈悲	慈悲
慈悲喜舍	慈悲喜捨
磁制	磁製
此不可干	此不可幹
此路不通	此路不通
此仆彼起	此仆彼起
此系	此係
刺参	刺蔘
刺干	刺干
赐恤	賜卹
苁蓉羊肉羹	蓯蓉羊肉羹
葱葱	蔥蔥
葱葱郁郁	蔥蔥郁郁
葱姜	蔥姜
葱姜蒜	蔥薑蒜
粗管	粗管
粗管面	粗管麪
粗卤	粗鹵
粗面	粗麪
粗面岩	粗面岩
粗制	粗製
醋栗	醋栗
醋坛	醋罈
催并	催併
脆谷乐	脆穀樂
淬炼	淬鍊
存托股	存托股
存亡不重见	存亡不重見
存折	存摺
寸发千金	寸髮千金
错彩镂金	錯彩鏤金
搭干铺	搭乾鋪
达欣	達欣
达欣杯	達欣盃
答复	答覆
打挨	打捱
打并	打併
打出	打出
打出吊入	打出弔入
打谷	打穀
打哄	打鬨
打簧表	打簧錶
打桨杆	打槳桿
打卡	打卡
打卡钟	打卡鐘
打游飞	打游飛
打游击	打游擊
打制	打製
打中	打中
打中伙	打中伙
打钟	打鐘
大本钟	大本鐘
大笨钟	大笨鐘
大便不通	大便不通
大病	大病
大病初愈	大病初癒
大不里士	大不里士
大采	大采
大冲	大沖
大虫	大蟲
大虫不吃伏肉	大蟲不吃伏肉
大虫吃小虫	大蟲吃小蟲
大丑	大丑
大斗	大斗
大夫	大夫
大夫松	大夫松
大吉大利	大吉大利
大鉴	大鑒
大金发苔	大金髮薹
大扣欲干云	大扣欲幹雲
大蜡	大蜡
大里	大里
大理	大理
大理岩	大理岩
大历	大曆
大利面	大利麪
大麻	大麻
大麻里	大麻里
大面白	大面白
大明	大明
大明历	大明曆
大目干连	大目乾連
大辟	大辟
大曲	大麴
大水	大水
大水冲倒龙王殿	大水沖倒龍王殿
大水冲倒龙王庙	大水沖倒龍王廟
大水冲溺	大水沖溺
大武仑	大武崙
大咸	大咸
大型	大型
大型钟	大型鐘
大凶	大凶
大言非夸	大言非夸
大衍历	大衍曆
大一统	大一統
大一统志	大一統誌
大赞	大讚
大折儿	大摺兒
大只	大隻
大钟	大鐘
大周后	大周后
大专	大專
大专杯	大專盃
呆致致	呆緻緻
逮系	逮繫
代签	代簽
带发修行	帶髮修行
带凶	帶凶
待核	待覈
袋表	袋錶
戴表	戴錶
戴发含齿	戴髮含齒
戴眉含齿	戴眉含齒
戴维斯	戴維斯
戴维斯杯	戴維斯盃
丹参	丹蔘
丹干	丹干
丹橘黄甘此地无	丹橘黃甘此地無
担担面	擔擔麪
担干纪	擔干紀
担仔面	擔仔麪
单夫只妇	單夫隻婦
单排档	單排檔
单枪匹马	單槍匹馬
单位	單位
单位信托	單位信托
单弦	單絃
单于	單于
单只	單隻
单周	單週
胆大	膽大
胆大如斗	膽大如斗
胆大于天	膽大於天
但得一片橘皮吃且莫忘了洞庭湖	但得一片橘皮吃且莫忘了洞庭湖
但云	但云
弹丝托	彈絲託
弹弦奏节梅风入	彈弦奏節梅風入
弹珠台	彈珠檯
弹子	彈子
弹子台	彈子檯
澹荡	澹盪
当当	噹噹
当当当	噹噹噹
当的一声	噹的一聲
当的一响	噹的一響
当家	當家
当家才知柴米价	當家纔知柴米價
当啷	噹啷
当时四十万匹马	當時四十萬匹馬
当一声	噹一聲
当周	當週
挡御	擋禦
党参	黨蔘
党怀英	党懷英
党进	党進
党太尉	党太尉
党太尉吃匾食	党太尉吃匾食
党项	党項
党項	党項
党支书	党支書
荡出	盪出
荡船	盪船
荡荡	蕩蕩
荡荡悠悠	盪盪悠悠
荡到	盪到
荡涤	盪滌
荡风	盪風
荡复	蕩覆
荡垢涤汙	盪垢滌污
荡寒	盪寒
荡检逾闲	蕩檢逾閑
荡酒	盪酒
荡开	盪開
荡口	盪口
荡来荡去	盪來盪去
荡气回阳	蕩氣迴陽
荡秋千	盪鞦韆
荡瑕涤秽	蕩瑕滌穢
荡漾	盪漾
荡悠悠	盪悠悠
荡舟	盪舟
叨念	叨唸
捣鬼	搗鬼
捣鬼吊白	搗鬼弔白
倒八字须	倒八字鬚
倒二叶	倒二葉
倒念	倒唸
倒悬	倒懸
倒悬挨命	倒懸捱命
祷念	禱唸
盗钟	盜鐘
道里	道里
稻谷	稻穀
得采	得采
德干	德干
德高而毁来	德高而譭來
德里	德里
德利得	德利得
德胜	德勝
德胜头回	德勝頭迴
的钟	的鐘
灯彩	燈綵
等压面	等壓面
低荡	低盪
低回	低迴
嘀嗒	嘀嗒
嘀嗒的表	嘀嗒的錶
滴干	滴乾
滴里耷拉	滴里耷拉
滴里搭拉	滴里搭拉
滴里嘟噜	滴里嘟嚕
狄志杰	狄志杰
敌抗一号	敵抗一號
涤荡	滌盪
涤秽荡瑕	滌穢盪瑕
涤瑕荡垢	滌瑕盪垢
涤瑕荡秽	滌瑕盪穢
诋毁	詆譭
抵触	牴觸
抵牾	牴牾
抵御	抵禦
地多齐后	地多齊後
地复天翻	地覆天翻
地覆天翻	地覆天翻
地拉普利	地拉普利
地塞米松	地塞米松
地三叶	地三葉
地湿烟尝起	地溼煙嘗起
地无三里平	地無三里平
地一卷	地一捲
地志	地誌
帝后	帝后
帝力收三统	帝力收三統
递回	遞迴
第八出	第八齣
第二出	第二齣
第九出	第九齣
第六出	第六齣
第七出	第七齣
第三出	第三齣
第十出	第十齣
第四出	第四齣
第五出	第五齣
第一	第一
第一出	第一齣
颠颠仆仆	顛顛仆仆
颠复	顛覆
颠仆	顛仆
攧攧仆仆	攧攧仆仆
点半钟	點半鐘
点多钟	點多鐘
点烟	點菸
点钟	點鐘
电表	電錶
电复	電覆
电胡刀	電鬍刀
电脑	電腦
电脑台	電腦檯
电砂锅	電砂鍋
电须刀	電鬚刀
电钟	電鐘
电子	電子
电子表	電子錶
电子钟	電子鐘
殿钟自鸣	殿鐘自鳴
刁斗	刁斗
刁奸	刁姦
貂复额	貂覆額
雕鹗	鵰鶚
雕悍	鵰悍
雕具	雕具
雕具座	鵰具座
雕梁	雕樑
雕翎	鵰翎
雕心雁爪	鵰心雁爪
吊词	弔詞
吊奠	弔奠
吊斗	吊斗
吊古	弔古
吊诡	弔詭
吊贺迎送	弔賀迎送
吊鹤	弔鶴
吊喉	弔喉
吊谎	弔謊
吊祭	弔祭
吊脚	吊腳
吊脚儿	吊腳兒
吊脚儿事	弔腳兒事
吊拷	弔拷
吊客	弔客
吊民	弔民
吊旗	弔旗
吊撒	弔撒
吊丧	弔喪
吊书	弔書
吊死	吊死
吊死问孤	弔死問孤
吊死问疾	弔死問疾
吊头	弔頭
吊慰	弔慰
吊文	弔文
吊问	弔問
吊孝	弔孝
吊唁	弔唁
吊宴	弔宴
吊喭	弔喭
吊腰撒跨	弔腰撒跨
吊影	弔影
吊者大悦	弔者大悅
吊纸	弔紙
吊钟	吊鐘
掉发	掉髮
爹娘	爹孃
叠层岩	疊層岩
蹀里蹀斜	蹀里蹀斜
丁丑	丁丑
丁固生松	丁固生松
叮当	叮噹
顶针	頂針
顶针挨住	頂針捱住
订制	訂製
钉扣	釘釦
定远县	定遠縣
定制	定製
东仓里	東倉里
东风动地只花发	東風動地只花發
东干	東干
东里	東里
东林精舍近	東林精舍近
东山	東山
东山里	東山里
东升	東昇
东征	東征
东芝	東芝
东芝医疗系	東芝醫療繫
东周	東周
东周钟	東周鐘
冬冬	鼕鼕
冬青尚满洲	冬青尚滿洲
董里府	董里府
董氏封发	董氏封髮
动荡	動盪
冻鸡腿	凍雞腿
栋梁	棟樑
都舍下	都捨下
斗柄	斗柄
斗车	斗車
斗城	斗城
斗储	斗儲
斗大	斗大
斗胆	斗膽
斗的	斗的
斗灯	斗燈
斗店	斗店
斗顿	斗頓
斗方	斗方
斗府	斗府
斗概	斗概
斗拱	斗拱
斗栱	斗栱
斗哄	鬥鬨
斗斛之禄	斗斛之祿
斗箕	斗箕
斗极	斗極
斗酒	斗酒
斗酒只鸡	斗酒隻雞
斗居	斗居
斗绝	斗絕
斗魁	斗魁
斗笠	斗笠
斗量	斗量
斗六	斗六
斗罗大陆	斗羅大陸
斗门	斗門
斗米尺布	鬥米尺布
斗南	斗南
斗牛	鬥牛
斗牛之间	斗牛之間
斗蓬装	斗蓬裝
斗篷	斗篷
斗渠	斗渠
斗然	斗然
斗山	斗山
斗筲	斗筲
斗杓	斗杓
斗升	斗升
斗食	斗食
斗室	斗室
斗数	斗數
斗薮	斗藪
斗粟尺布	斗粟尺布
斗粟囊金	斗粟囊金
斗尾港	斗尾港
斗纹	斗紋
斗香	斗香
斗小马	斗小馬
斗烟丝	斗菸絲
斗斋	斗齋
斗帐	斗帳
斗折蛇行	斗折蛇行
斗真	斗真
斗重山齐	斗重山齊
斗转参横	斗轉參橫
斗转星移	斗轉星移
斗子	斗子
豆干	豆乾
豆干肉丝	豆干肉絲
豆面	豆麪
豆签	豆簽
毒僵指	毒殭指
独卧秋窗明	獨臥秋窗明
独有南山桂花发	獨有南山桂花發
独占鼇头	獨佔鼇頭
读书	讀書
读书三余	讀書三余
赌台	賭檯
杜老志道	杜老誌道
杜隆塔尔虎皮	杜隆塔爾虎皮
杜雅里克	杜雅里克
短发	短髮
短几	短几
短须	短鬚
短衣匹马	短衣匹馬
断发	斷髮
断弦	斷絃
断纸余墨	斷紙余墨
锻炼	鍛鍊
堆案盈几	堆案盈几
对表	對錶
对凤连鸡一何小	對鳳連雞一何小
对折	對摺
对中环	對中環
对准	對準
对准表	對準錶
对准钟	對準鐘
多采	多采
多层复	多層複
